Airport Code;Airport Name;City Name;Country Name;Country Code;Latitude;Longitude;World Area Code;City Name geo_name_id;Country Name geo_name_id;coordinates
KOY;Olga Bay SPB;Olga Bay;United States;US;57.15;-154.233333;67;\N;6252001;57.15, -154.233333
ZUG;Harrisburg Rail;Harrisburg;United States;US;34.251389;36.009722;67;5730389;6252001;34.251389, 36.009722
CLG;Coalinga;Coalinga;United States;US;36.15;-120.35;67;5338196;6252001;36.15, -120.35
PVF;Placerville;Placerville;United States;US;38.716667;-120.8;67;5383559;6252001;38.716667, -120.8
TNK;Tununak;Tununak;United States;US;72.033333;-80.916667;67;\N;6252001;72.033333, -80.916667
PDT;Pendleton;Pendleton;United States;US;45.7;-118.833333;67;5745380;6252001;45.7, -118.833333
PSB;Bellefonte;Bellefonte;United States;US;60.933333;7.2;67;5179799;6252001;60.933333, 7.2
HWD;Air Terminal;Hayward;United States;US;37.666667;-122.083333;67;5355933;6252001;37.666667, -122.083333
EWD;Wildman Lake;Wildman Lake;United States;US;-12.333333;131.933333;67;\N;6252001;-12.333333, 131.933333
SRF;Hamilton Field;San Rafael;United States;US;8.45;-73.916667;67;5392567;6252001;8.45, -73.916667
FRP;Fresh Water Bay;Fresh Water Bay;United States;US;57.845833;-135.025;67;\N;6252001;57.845833, -135.025
PFN;Bay County;Panama City;United States;US;30.216667;-85.683333;67;4167694;6252001;30.216667, -85.683333
CZP;Cape Pole;Cape Pole;United States;US;55.966667;-133.783333;67;\N;6252001;55.966667, -133.783333
GSH;Goshen;Goshen;United States;US;41.583333;-85.833333;67;5353181;6252001;41.583333, -85.833333
CZC;Copper Centre;Copper Centre;United States;US;42.483333;12.65;67;\N;6252001;42.483333, 12.65
KSM;Saint Marys;Saint Marys;United States;US;62.05;-163.183333;67;5210117;6252001;62.05, -163.183333
ILG;Greater Wilmington;Wilmington;United States;US;39.683333;-75.6;67;4955840;6252001;39.683333, -75.6
ISN;Sloulin Field Intl;Williston;United States;US;48.183333;-103.65;67;5692947;6252001;48.183333, -103.65
GON;New London;New London;United States;US;41.333333;-72.05;67;5264455;6252001;41.333333, -72.05
CIL;Melsing Creek;Council;United States;US;64.9;-163.733333;67;\N;6252001;64.9, -163.733333
GVE;Municipal;Gordonsville;United States;US;38.15;-78.166667;67;4761471;6252001;38.15, -78.166667
BJC;Jeffco;Broomfield;United States;US;39.933333;-105.066667;67;5415035;6252001;39.933333, -105.066667
LUP;Kalaupapa;Kalaupapa;United States;US;21.183333;-156.966667;67;\N;6252001;21.183333, -156.966667
JMC;Marin County;Sausalito, CA;United States;US;37.879167;-122.513611;67;5393611;6252001;37.879167, -122.513611
POC;Brackett Field;La Verne;United States;US;34.083333;-117.783333;67;5364134;6252001;34.083333, -117.783333
SHG;Shungnak;Shungnak;United States;US;66.883333;-157.05;67;\N;6252001;66.883333, -157.05
HEY;Hanchey Army Heliport;Ozark;United States;US;53.116667;22.45;67;4402245;6252001;53.116667, 22.45
ALM;Municipal;Alamogordo;United States;US;32.833333;-106.0;67;5454627;6252001;32.833333, -106.0
DRF;Drift River;Drift River;United States;US;60.583333;-152.15;67;\N;6252001;60.583333, -152.15
ITO;Hilo International;Hilo;United States;US;19.716667;-155.05;67;5855927;6252001;19.716667, -155.05
APF;Naples;Naples;United States;US;26.15;-81.766667;67;5778807;6252001;26.15, -81.766667
EFK;Newport;Newport;United States;US;44.883333;-72.233333;67;5804694;6252001;44.883333, -72.233333
GEK;Ganes Creek;Ganes Creek;United States;US;62.983333;-156.5;67;\N;6252001;62.983333, -156.5
ZTE;Rochester NY Rail;Rochester;United States;US;49.916667;-0.966666999999999;67;5808524;6252001;49.916667, -0.966666999999999
LEM;Lemmon;Lemmon;United States;US;45.916667;-102.1;67;5766453;6252001;45.916667, -102.1
IAH;George Bush Intercontinental;Houston;United States;US;29.984444;-95.341389;67;5864312;6252001;29.984444, -95.341389
WMC;Winnemucca;Winnemucca;United States;US;40.966667;-117.733333;67;5710360;6252001;40.966667, -117.733333
ATK;Atqasuk;Atqasuk;United States;US;70.466667;-157.333333;67;\N;6252001;70.466667, -157.333333
LMT;Kingsley Field;Klamath Falls;United States;US;42.166667;-121.733333;67;5735238;6252001;42.166667, -121.733333
JOR;The City Heliport;Orange;United States;US;33.791667;-117.875;67;5379513;6252001;33.791667, -117.875
ALB;Albany International;Albany;United States;US;42.733333;-73.8;67;5710756;6252001;42.733333, -73.8
KCK;Fairfax Municipal;Kansas City;United States;US;39.116667;-94.65;67;4393217;6252001;39.116667, -94.65
PGS;Peach Springs;Peach Springs;United States;US;35.533333;-113.416667;67;\N;6252001;35.533333, -113.416667
CNU;Martin Johnson;Chanute;United States;US;37.683333;-95.45;67;4269392;6252001;37.683333, -95.45
EEK;Eek;Eek;United States;US;60.216667;-162.016667;67;\N;6252001;60.216667, -162.016667
HNE;Tahneta Pass;Tahneta Pass Lodge;United States;US;35.742778;52.508611;67;\N;6252001;35.742778, 52.508611
JMH;Marriott Heliport;Schaumburg;United States;US;42.033333;-88.083333;67;4910713;6252001;42.033333, -88.083333
DMO;Sedalia;Sedalia;United States;US;38.833333;-93.416667;67;4408000;6252001;38.833333, -93.416667
TLJ;Tatalina AFS;Tatalina;United States;US;-4.716667;-79.55;67;\N;6252001;-4.716667, -79.55
BIE;Beatrice;Beatrice;United States;US;40.316667;-96.75;67;5063646;6252001;40.316667, -96.75
NOT;Novato;Novato;United States;US;38.1;-122.566667;67;5378044;6252001;38.1, -122.566667
MDJ;City-county;Madras;United States;US;44.633333;-121.133333;67;5738690;6252001;44.633333, -121.133333
WAL;Wallops Flight Center;Chincoteague;United States;US;37.933333;-75.383333;67;4752495;6252001;37.933333, -75.383333
OEO;Municipal;Osceola;United States;US;45.316667;-92.7;67;5265824;6252001;45.316667, -92.7
WOD;Wood River;Wood River;United States;US;59.066667;-157.433333;67;5082201;6252001;59.066667, -157.433333
BJI;Bemidji;Bemidji;United States;US;47.516667;-94.933333;67;5017822;6252001;47.516667, -94.933333
SCJ;Smith Cove;Smith Cove;United States;US;55.4375;-132.341667;67;\N;6252001;55.4375, -132.341667
TLT;Tuluksak;Tuluksak;United States;US;37.966667;39.533333;67;\N;6252001;37.966667, 39.533333
ELW;Ellamar;Ellamar;United States;US;60.897222;-146.6125;67;\N;6252001;60.897222, -146.6125
KZB;Zachar Bay SPB;Zachar Bay;United States;US;57.55;-153.75;67;\N;6252001;57.55, -153.75
MYV;Yuba County;Marysville;United States;US;39.1;-121.566667;67;5802570;6252001;39.1, -121.566667
SEE;Gillespie Field;San Diego;United States;US;32.550278;-116.916389;67;5391811;6252001;32.550278, -116.916389
ASX;Ashland;Ashland;United States;US;46.548611;-90.918889;67;5711789;6252001;46.548611, -90.918889
AVL;Asheville Regional Airport;Fletcher;United States;US;35.436111;-82.541667;67;4536996;6252001;35.436111, -82.541667
MQI;Quincy;Quincy;United States;US;42.25;-71.0;67;5807713;6252001;42.25, -71.0
RAL;Riverside Municipal;Riverside;United States;US;33.95;-117.433333;67;5387877;6252001;33.95, -117.433333
IMM;Immokalee;Immokalee;United States;US;26.416667;-81.416667;67;4159553;6252001;26.416667, -81.416667
WWT;Newtok;Newtok;United States;US;60.933333;-164.633333;67;\N;6252001;60.933333, -164.633333
HMT;Ryan Field;Hemet;United States;US;33.75;-116.966667;67;5356277;6252001;33.75, -116.966667
NKI;Naukiti;Naukiti;United States;US;55.855556;-133.183333;67;\N;6252001;55.855556, -133.183333
MYU;Ellis Field;Mekoryuk;United States;US;60.383333;-166.2;67;\N;6252001;60.383333, -166.2
NEW;Lakefront;New Orleans;United States;US;30.049444;-90.028889;67;4335045;6252001;30.049444, -90.028889
SEG;Penn Valley;Selinsgrove;United States;US;40.783333;-76.85;67;5211411;6252001;40.783333, -76.85
PKF;Park Falls;Park Falls;United States;US;45.933333;-90.433333;67;5266230;6252001;45.933333, -90.433333
MLU;Municipal;Monroe;United States;US;32.5;-92.033333;67;5803786;6252001;32.5, -92.033333
AMN;Gratiot Community;Alma;United States;US;43.383333;-84.65;67;5062898;6252001;43.383333, -84.65
LSN;Los Banos;Los Banos;United States;US;37.066667;-120.85;67;5368453;6252001;37.066667, -120.85
FWA;Municipal/Baer Field;Fort Wayne;United States;US;41.116667;-85.116667;67;4920423;6252001;41.116667, -85.116667
BIH;Bishop;Bishop;United States;US;37.366667;-118.35;67;5328808;6252001;37.366667, -118.35
AIK;Municipal;Aiken;United States;US;33.65;-81.683333;67;4569067;6252001;33.65, -81.683333
PBI;Palm Beach International;West Palm Beach;United States;US;26.683056;-80.095556;67;4177887;6252001;26.683056, -80.095556
GOK;Guthrie;Guthrie;United States;US;35.883333;-97.416667;67;4538142;6252001;35.883333, -97.416667
DKK;Dunkirk;Dunkirk;United States;US;42.483333;-79.333333;67;5115495;6252001;42.483333, -79.333333
FAM;Regional;Farmington;United States;US;37.673333;-90.233889;67;5774662;6252001;37.673333, -90.233889
MWL;Mineral Wells Arpt;Mineral Wells;United States;US;32.783333;-98.066667;67;4711647;6252001;32.783333, -98.066667
HST;AFB;Homestead;United States;US;25.483333;-80.483333;67;5194067;6252001;25.483333, -80.483333
LGF;Laguna AAF;Yuma;United States;US;-1.6;138.716667;67;5583657;6252001;-1.6, 138.716667
SRQ;Sarasota-Bradenton International Airport;Sarasota, FL;United States;US;27.395556;-82.554444;67;4172131;6252001;27.395556, -82.554444
TOR;Municipal;Torrington;United States;US;51.8;-1.6;67;5841207;6252001;51.8, -1.6
IKB;Wilkes County;Wilkesboro;United States;US;36.166667;-81.15;67;4499138;6252001;36.166667, -81.15
RBY;Ruby;Ruby;United States;US;64.733333;-155.483333;67;\N;6252001;64.733333, -155.483333
HAX;Hatbox Field;Muskogee;United States;US;35.745833;-95.412778;1;4543338;6252001;35.745833, -95.412778
ZTD;Schenectady Rail;Schenectady;United States;US;50.35;21.383333;67;5136454;6252001;50.35, 21.383333
PVY;Pope Vanoy;Pope Vanoy;United States;US;59.316667;-154.916667;67;\N;6252001;59.316667, -154.916667
GTG;Municipal;Grantsburg;United States;US;45.783333;-92.683333;67;5254880;6252001;45.783333, -92.683333
NWS;Pier 11/Wall St. SPB;New York;United States;US;5.5;-70.483333;67;5128581;6252001;5.5, -70.483333
PIE;St. Petersburg-Clearwater International;Clearwater;United States;US;27.910556;-82.6875;67;5021527;6252001;27.910556, -82.6875
UKT;Upper Bucks;Quakertown;United States;US;40.433333;-75.333333;67;5207381;6252001;40.433333, -75.333333
PKD;Park Rapids;Park Rapids;United States;US;46.9;-95.066667;67;5040822;6252001;46.9, -95.066667
SIY;Siskiyou County;Montague;United States;US;41.781389;-122.466389;67;5568152;6252001;41.781389, -122.466389
BTV;Burlington International;Burlington;United States;US;44.471944;-73.153333;67;5788539;6252001;44.471944, -73.153333
HSV;Huntsville International - Carl T. Jones Field;Huntsville, AL;United States;US;34.637222;-86.775;67;4699540;6252001;34.637222, -86.775
DRT;International;Del Rio;United States;US;29.366667;-100.916667;67;5520076;6252001;29.366667, -100.916667
PRT;Coast Guard Heliport;Point Retreat;United States;US;47.533333;12.516667;67;\N;6252001;47.533333, 12.516667
PBK;Pack Creek;Pack Creek;United States;US;-34.2;150.616667;67;\N;6252001;-34.2, 150.616667
WST;Westerly State;Westerly;United States;US;41.333333;-71.766667;67;5225631;6252001;41.333333, -71.766667
GGW;International;Glasgow;United States;US;48.216667;-106.616667;67;5654320;6252001;48.216667, -106.616667
INR;Kincheloe AFB;Sault Ste Marie;United States;US;45.85;5.416667;67;\N;6252001;45.85, 5.416667
BVY;Beverly Municiple Airport;Beverly;United States;US;42.516667;-70.833333;67;5095691;6252001;42.516667, -70.833333
BLF;Princeton;Princeton;United States;US;37.3;-81.2;67;5268096;6252001;37.3, -81.2
LHM;Lincoln Regional Airport;Lincoln, CA;United States;US;38.909167;-121.351389;67;5690162;6252001;38.909167, -121.351389
KTH;SPB;Tikchik;United States;US;27.666667;88.516667;67;\N;6252001;27.666667, 88.516667
OTH;North Bend;North Bend;United States;US;43.416667;-124.25;67;5804915;6252001;43.416667, -124.25
GNT;Milan;Grants;United States;US;35.15;-107.866667;67;5469841;6252001;35.15, -107.866667
BPT;Jefferson County;Beaumont;United States;US;30.083333;-94.1;67;5327098;6252001;30.083333, -94.1
EVW;Evanston;Evanston;United States;US;41.35;-111.016667;67;5824805;6252001;41.35, -111.016667
JAC;Jackson Hole;Jackson;United States;US;43.6;-110.733333;67;5828648;6252001;43.6, -110.733333
DIK;Dickinson;Dickinson;United States;US;46.8;-102.8;67;5688789;6252001;46.8, -102.8
ISZ;Cincinnati-Blue Ash Airport;Cincinnati, OH;United States;US;39.246667;-84.388889;67;4508722;6252001;39.246667, -84.388889
SBP;San Luis County Regional Airport;San Luis Obispo;United States;US;35.236944;-120.641944;67;5392323;6252001;35.236944, -120.641944
CHU;Chuathbaluk;Chuathbaluk;United States;US;61.666667;-159.25;67;\N;6252001;61.666667, -159.25
EGI;Duke Field;Valparaiso;United States;US;45.660833;18.418611;67;4927537;6252001;45.660833, 18.418611
FSK;Municipal;Fort Scott;United States;US;37.8;-94.766667;67;4271690;6252001;37.8, -94.766667
UCA;Oneida County;Utica;United States;US;43.15;-75.383333;67;5174913;6252001;43.15, -75.383333
SQI;Whiteside County;Sterling Rockfalls;United States;US;41.733333;-89.683333;67;\N;6252001;41.733333, -89.683333
WLD;Arkansas City;Winfield;United States;US;37.166667;-97.05;67;4928354;6252001;37.166667, -97.05
EPG;Browns;Weeping Water;United States;US;40.866667;-96.133333;67;5081518;6252001;40.866667, -96.133333
BFP;Beaver Falls;Beaver Falls;United States;US;40.766667;-80.4;67;5179478;6252001;40.766667, -80.4
SVH;Municipal;Statesville;United States;US;35.766667;-80.95;67;4493316;6252001;35.766667, -80.95
SRW;Rowan County;Salisbury;United States;US;35.633333;-80.516667;67;5136107;6252001;35.633333, -80.516667
